RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Target
Josh Emmett,Desmond Green,-200.0,170.0,50.0,170.0,0
Katlyn Chookagian,Irene Aldana,-135.0,115.0,74.0741,115.0,1
Jenel Lausa,Magomed Bibulatov,470.0,-640.0,470.0,15.625,0
Jimi Manuwa,Corey Anderson,-145.0,125.0,68.9655,125.0,1
Gunnar Nelson,Alan Jouban,-335.0,275.0,29.8507,275.0,1
Brad Pickett,Marlon Vera,-150.0,130.0,66.6667,130.0,0
Arnold Allen,Makwan Amirkhani,-115.0,-105.0,86.9565,95.2381,1
Joe Duffy,Reza Madadi,-550.0,425.0,18.1818,425.0,1
Darren Stewart,Francimar Barroso,-210.0,175.0,47.619,175.0,0
Daniel Omielanczuk,Tim Johnson,170.0,-200.0,170.0,50.0,0
Leon Edwards,Vicente Luque,100.0,-120.0,100.0,83.3333,1
Marc Diakiese,Teemu Packalen,-175.0,155.0,57.1429,155.0,1
Bradley Scott,Scott Askham,135.0,-155.0,135.0,64.5161,1
Lina Lansberg,Lucie Pudilova,-400.0,325.0,25.0,325.0,1
Mauricio Rua,Gian Villante,-155.0,135.0,64.5161,135.0,1
Edson Barboza,Beneil Dariush,-160.0,140.0,62.5,140.0,1
Jussier Formiga,Ray Borg,110.0,-130.0,110.0,76.9231,0
Alex Oliveira,Tim Means,175.0,-210.0,175.0,47.619,1
Francisco Trinaldo,Kevin Lee,150.0,-170.0,150.0,58.8235,0
Sergio Moraes,Davi Ramos,-200.0,170.0,50.0,170.0,1
Rani Yahya,Joe Soto,-240.0,200.0,41.6667,200.0,0
Michel Prazeres,Joshua Burkman,-300.0,250.0,33.3333,250.0,1
Rony Jason,Jeremy Kennedy,105.0,-125.0,105.0,80.0,0
Garreth McLellan,Paulo Costa,280.0,-340.0,280.0,29.4118,0
Tyron Woodley,Stephen Thompson,120.0,-140.0,120.0,71.4286,1
Lando Vannata,David Teymur,-360.0,300.0,27.7778,300.0,0
Rashad Evans,Daniel Kelly,-245.0,205.0,40.8163,205.0,0
Amanda Cooper,Cynthia Calvillo,150.0,-170.0,150.0,58.8235,0
Alistair Overeem,Mark Hunt,-130.0,110.0,76.9231,110.0,1
Marcin Tybura,Luis Henrique,-175.0,155.0,57.1429,155.0,1
Mirsad Bektic,Darren Elkins,-750.0,525.0,13.3333,525.0,0
Iuri Alcantara,Luke Sanders,130.0,-150.0,130.0,66.6667,1
Mark Godbeer,Daniel Spitz,-145.0,125.0,68.9655,125.0,1
Tyson Pedro,Paul Craig,-140.0,120.0,71.4286,120.0,1
Albert Morales,Andre Soukhamthath,-150.0,130.0,66.6667,130.0,1
Derrick Lewis,Travis Browne,-105.0,-115.0,95.2381,86.9565,1
Johny Hendricks,Hector Lombard,110.0,-130.0,110.0,76.9231,1
Sam Sicilia,Gavin Tucker,130.0,-160.0,130.0,62.5,0
Elias Theodorou,Cezar Ferreira,-105.0,-115.0,95.2381,86.9565,1
Sara McMann,Gina Mazany,-800.0,550.0,12.5,550.0,1
Paul Felder,Alessandro Ricci,-370.0,310.0,27.027,310.0,1
Nordine Taleb,Santiago Ponzinibbio,265.0,-325.0,265.0,30.7692,0
Carla Esparza,Randa Markos,-260.0,200.0,38.4615,200.0,0
Aiemann Zahabi,Reginaldo Vieira,-275.0,235.0,36.3636,235.0,1
Jack Marshman,Thiago Santos,145.0,-165.0,145.0,60.6061,0
Gerald Meerschaert,Ryan Janes,-300.0,250.0,33.3333,250.0,1
